dataset,threshold,total_loans,accepted_loans,acceptance_rate,observed_bad_rate_accepted,avg_predicted_pd_accepted,total_ead_accepted,expected_loss_accepted,expected_loss_rate_accepted,actual_loss_accepted,actual_loss_rate_accepted
subtrain,0.47,825575,793924,0.9617,0.1686,0.1704,11261781600.0,811007283.48,0.072,803196910.0,0.0713
subtrain,0.48,825575,797222,0.9657,0.1699,0.1717,11323590975.0,822748949.8,0.0727,815536090.0,0.072
subtrain,0.49,825575,800280,0.9694,0.1713,0.1729,11380515050.0,833790424.44,0.0733,827565750.0,0.0727
subtrain,0.5,825575,803133,0.9728,0.1726,0.174,11433150600.0,844209888.15,0.0738,838830470.0,0.0734
subtrain,0.51,825575,805694,0.9759,0.1737,0.1751,11480751850.0,853823676.36,0.0744,848923300.0,0.0739
subtrain,0.52,825575,808130,0.9789,0.1748,0.1761,11525745525.0,863092409.1,0.0749,858468710.0,0.0745
subtrain,0.53,825575,810293,0.9815,0.1759,0.177,11565665325.0,871474138.29,0.0754,867817460.0,0.075
subtrain,0.54,825575,812284,0.9839,0.1769,0.1779,11602564950.0,879370415.58,0.0758,876333260.0,0.0755
subtrain,0.55,825575,814163,0.9862,0.1778,0.1787,11637880000.0,887068989.53,0.0762,884673870.0,0.076
subtrain,0.56,825575,815718,0.9881,0.1786,0.1795,11666590650.0,893441128.85,0.0766,891403370.0,0.0764
subtrain,0.57,825575,817223,0.9899,0.1794,0.1802,11694336625.0,899710922.58,0.0769,898505560.0,0.0768
subtrain,0.58,825575,818530,0.9915,0.1801,0.1808,11718447500.0,905254542.33,0.0773,904425790.0,0.0772
subtrain,0.59,825575,819684,0.9929,0.1808,0.1814,11739670950.0,910219547.26,0.0775,909926690.0,0.0775
subtrain,0.6,825575,820705,0.9941,0.1814,0.1819,11758650700.0,914736956.6,0.0778,914896990.0,0.0778
subtrain,0.61,825575,821528,0.9951,0.1819,0.1823,11773774525.0,918395789.58,0.078,919009150.0,0.0781
subtrain,0.62,825575,822305,0.996,0.1824,0.1827,11788304125.0,921969393.13,0.0782,923000860.0,0.0783
subtrain,0.63,825575,822883,0.9967,0.1827,0.183,11798958225.0,924632420.47,0.0784,926011560.0,0.0785
subtrain,0.64,825575,823419,0.9974,0.1831,0.1833,11808973725.0,927176014.27,0.0785,928824980.0,0.0787
subtrain,0.65,825575,823818,0.9979,0.1833,0.1835,11816804700.0,929196950.11,0.0786,931157720.0,0.0788
subtrain,0.66,825575,824179,0.9983,0.1836,0.1838,11823837125.0,931039468.89,0.0787,933228930.0,0.0789
subtrain,0.67,825575,824509,0.9987,0.1838,0.1839,11829878275.0,932645838.95,0.0788,935044000.0,0.079
subtrain,0.68,825575,824777,0.999,0.184,0.1841,11834797625.0,933973042.7,0.0789,936606680.0,0.0791
subtrain,0.69,825575,824963,0.9993,0.1841,0.1842,11838371375.0,934951478.01,0.079,937741050.0,0.0792
subtrain,0.7,825575,825104,0.9994,0.1843,0.1843,11841202225.0,935737992.85,0.079,938675860.0,0.0793
subtrain,0.71,825575,825218,0.9996,0.1843,0.1844,11843330075.0,936337896.44,0.0791,939353500.0,0.0793
subtrain,0.72,825575,825312,0.9997,0.1844,0.1844,11845229650.0,936880800.38,0.0791,939923310.0,0.0794
subtrain,0.73,825575,825382,0.9998,0.1845,0.1845,11846648500.0,937292157.76,0.0791,940378300.0,0.0794
subtrain,0.74,825575,825427,0.9998,0.1845,0.1845,11847500375.0,937542397.63,0.0791,940672760.0,0.0794
subtrain,0.75,825575,825467,0.9999,0.1845,0.1845,11848366475.0,937800191.43,0.0792,940991370.0,0.0794
subtrain,0.76,825575,825493,0.9999,0.1846,0.1846,11848911875.0,937964888.22,0.0792,941209530.0,0.0794
subtrain,0.77,825575,825524,0.9999,0.1846,0.1846,11849562950.0,938164033.65,0.0792,941446180.0,0.0794
subtrain,0.78,825575,825544,1.0,0.1846,0.1846,11849981850.0,938293809.49,0.0792,941589190.0,0.0795
subtrain,0.79,825575,825554,1.0,0.1846,0.1846,11850196000.0,938360909.38,0.0792,941669730.0,0.0795
subtrain,0.8,825575,825566,1.0,0.1846,0.1846,11850476500.0,938449985.54,0.0792,941758910.0,0.0795
subtrain,0.81,825575,825571,1.0,0.1846,0.1846,11850607650.0,938492165.66,0.0792,941811370.0,0.0795
subtrain,0.82,825575,825573,1.0,0.1846,0.1846,11850658175.0,938508690.09,0.0792,941831580.0,0.0795
subtrain,0.83,825575,825574,1.0,0.1846,0.1846,11850675750.0,938514475.7,0.0792,941838610.0,0.0795
subtrain,0.84,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.85,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.86,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.87,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.88,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.89,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.9,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.91,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.92,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.93,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.94,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.95,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.96,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.97,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.98,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
subtrain,0.99,825575,825575,1.0,0.1846,0.1846,11850698150.0,938521932.85,0.0792,941847570.0,0.0795
test,0.01,277326,85,0.0003,0.0118,0.009,832600.0,3018.04,0.0036,4000.0,0.0048
test,0.02,277326,3764,0.0136,0.0154,0.0163,48167925.0,315807.95,0.0066,295600.0,0.0061
test,0.03,277326,11305,0.0408,0.0223,0.0222,148970725.0,1332490.36,0.0089,1487780.0,0.01
test,0.04,277326,19750,0.0712,0.0321,0.0277,260256325.0,2887389.64,0.0111,3707320.0,0.0142
test,0.05,277326,27949,0.1008,0.0404,0.0327,363177225.0,4739143.68,0.013,6413510.0,0.0177
test,0.06,277326,36192,0.1305,0.0473,0.0378,461922325.0,6911906.95,0.015,9467260.0,0.0205
test,0.07,277326,44864,0.1618,0.0548,0.0431,563388775.0,9549497.23,0.017,13257980.0,0.0235
test,0.08,277326,53835,0.1941,0.0606,0.0484,667088300.0,12660663.9,0.019,17179820.0,0.0258
test,0.09,277326,62920,0.2269,0.0663,0.0537,772006250.0,16230855.44,0.021,21695430.0,0.0281
test,0.1,277326,72621,0.2619,0.0726,0.0592,885991175.0,20562080.31,0.0232,27101420.0,0.0306
test,0.11,277326,82128,0.2961,0.0794,0.0645,998298600.0,25274510.36,0.0253,33339570.0,0.0334
test,0.12,277326,91896,0.3314,0.0856,0.0699,1116968075.0,30734550.02,0.0275,39747430.0,0.0356
test,0.13,277326,101432,0.3658,0.092,0.075,1233939700.0,36586264.59,0.0296,46953870.0,0.0381
test,0.14,277326,110691,0.3991,0.0969,0.0801,1349387150.0,42820272.83,0.0317,53714530.0,0.0398
test,0.15,277326,119985,0.4326,0.1033,0.0851,1467781650.0,49684919.98,0.0339,62480830.0,0.0426
test,0.16,277326,128790,0.4644,0.1084,0.0899,1581071275.0,56708945.7,0.0359,70504390.0,0.0446
test,0.17,277326,137586,0.4961,0.1143,0.0947,1697445875.0,64390360.81,0.0379,79947950.0,0.0471
test,0.18,277326,145986,0.5264,0.1198,0.0993,1810836750.0,72330804.86,0.0399,89233010.0,0.0493
test,0.19,277326,154161,0.5559,0.1248,0.1038,1923324025.0,80650744.05,0.0419,99028690.0,0.0515
test,0.2,277326,161770,0.5833,0.1297,0.1081,2030402750.0,89001690.23,0.0438,108817210.0,0.0536
test,0.21,277326,169199,0.6101,0.1345,0.1124,2138494425.0,97863222.54,0.0458,119322040.0,0.0558
test,0.22,277326,176327,0.6358,0.1392,0.1165,2242605850.0,106816033.14,0.0476,129801480.0,0.0579
test,0.23,277326,183020,0.6599,0.1434,0.1205,2341012600.0,115670721.58,0.0494,139616270.0,0.0596
test,0.24,277326,189313,0.6826,0.1474,0.1243,2437052650.0,124697189.56,0.0512,149704700.0,0.0614
test,0.25,277326,195389,0.7045,0.1519,0.128,2529200750.0,133726411.54,0.0529,160128540.0,0.0633
test,0.26,277326,201090,0.7251,0.1556,0.1316,2618802225.0,142863053.57,0.0546,170268770.0,0.065
test,0.27,277326,206414,0.7443,0.1591,0.1351,2702288000.0,151712216.81,0.0561,179866440.0,0.0666
test,0.28,277326,211209,0.7616,0.1623,0.1382,2779601625.0,160218066.0,0.0576,189104780.0,0.068
test,0.29,277326,215978,0.7788,0.1658,0.1415,2856583725.0,168990101.37,0.0592,199097090.0,0.0697
test,0.3,277326,220279,0.7943,0.1688,0.1445,2928069575.0,177422990.13,0.0606,208276540.0,0.0711
test,0.31,277326,224435,0.8093,0.1717,0.1475,2997253650.0,185862204.57,0.062,217221510.0,0.0725
test,0.32,277326,228357,0.8234,0.1744,0.1503,3063524900.0,194209893.15,0.0634,226125570.0,0.0738
test,0.33,277326,231875,0.8361,0.1771,0.153,3123462050.0,202001597.85,0.0647,234711320.0,0.0751
test,0.34,277326,235187,0.8481,0.1796,0.1555,3180707025.0,209671191.21,0.0659,242808670.0,0.0763
test,0.35,277326,238310,0.8593,0.182,0.158,3236065675.0,217309569.52,0.0672,250625280.0,0.0774
test,0.36,277326,241186,0.8697,0.1841,0.1604,3287804950.0,224654589.15,0.0683,257953620.0,0.0785
test,0.37,277326,243899,0.8795,0.1862,0.1626,3337135825.0,231855253.65,0.0695,265492080.0,0.0796
test,0.38,277326,246446,0.8887,0.1881,0.1648,3382984025.0,238731827.62,0.0706,272285720.0,0.0805
test,0.39,277326,248796,0.8971,0.1901,0.1669,3425714375.0,245312918.93,0.0716,279070320.0,0.0815
test,0.4,277326,250992,0.905,0.192,0.1689,3466378600.0,251737209.26,0.0726,285622700.0,0.0824
test,0.41,277326,253112,0.9127,0.1936,0.1709,3505661775.0,258100395.8,0.0736,291598720.0,0.0832
test,0.42,277326,254992,0.9195,0.1952,0.1727,3541015525.0,263969181.18,0.0745,297359250.0,0.084
test,0.43,277326,256782,0.9259,0.1967,0.1745,3574508800.0,269663397.64,0.0754,302859820.0,0.0847
test,0.44,277326,258452,0.9319,0.198,0.1761,3606073500.0,275155238.38,0.0763,307886280.0,0.0854
test,0.45,277326,260037,0.9377,0.1993,0.1778,3635791875.0,280443918.61,0.0771,312803150.0,0.086
test,0.46,277326,261527,0.943,0.2006,0.1794,3664054050.0,285587127.5,0.0779,317526550.0,0.0867
test,0.47,277326,262921,0.9481,0.2019,0.1809,3690468650.0,290500234.56,0.0787,322340900.0,0.0873
test,0.48,277326,264253,0.9529,0.2033,0.1823,3716494700.0,295443794.6,0.0795,327206470.0,0.088
test,0.49,277326,265485,0.9573,0.2045,0.1838,3740185125.0,300039370.89,0.0802,331577010.0,0.0887
test,0.5,277326,266608,0.9614,0.2056,0.1851,3762457850.0,304449331.36,0.0809,335812210.0,0.0893
test,0.51,277326,267681,0.9652,0.2067,0.1863,3783517050.0,308701225.02,0.0816,339777440.0,0.0898
test,0.52,277326,268674,0.9688,0.2078,0.1876,3803164100.0,312746484.22,0.0822,343732320.0,0.0904
test,0.53,277326,269596,0.9721,0.2087,0.1887,3821565575.0,316610905.12,0.0828,347315400.0,0.0909
test,0.54,277326,270421,0.9751,0.2097,0.1898,3838069975.0,320143124.95,0.0834,350789640.0,0.0914
test,0.55,277326,271229,0.978,0.2106,0.1908,3854166125.0,323651355.18,0.084,354205870.0,0.0919
test,0.56,277326,271932,0.9805,0.2114,0.1918,3868124850.0,326749264.39,0.0845,357082790.0,0.0923
test,0.57,277326,272614,0.983,0.2121,0.1927,3881321500.0,329729799.54,0.085,359765570.0,0.0927
test,0.58,277326,273144,0.9849,0.2127,0.1934,3892019375.0,332190856.88,0.0854,361950320.0,0.093
test,0.59,277326,273677,0.9868,0.2134,0.1942,3902341050.0,334605879.54,0.0857,364290770.0,0.0934
test,0.6,277326,274141,0.9885,0.214,0.1949,3911789950.0,336855135.44,0.0861,366429400.0,0.0937
test,0.61,277326,274576,0.9901,0.2145,0.1955,3920166250.0,338882584.14,0.0864,368241020.0,0.0939
test,0.62,277326,275001,0.9916,0.2151,0.1962,3928449425.0,340919846.14,0.0868,370154070.0,0.0942
test,0.63,277326,275384,0.993,0.2156,0.1968,3935921900.0,342787553.75,0.0871,371949880.0,0.0945
test,0.64,277326,275700,0.9941,0.216,0.1973,3942320325.0,344412055.58,0.0874,373482860.0,0.0947
test,0.65,277326,275984,0.9952,0.2164,0.1977,3947930775.0,345859282.73,0.0876,374764630.0,0.0949
test,0.66,277326,276219,0.996,0.2167,0.1981,3952845600.0,347146832.53,0.0878,375965600.0,0.0951
test,0.67,277326,276421,0.9967,0.217,0.1985,3956858375.0,348214280.37,0.088,376971250.0,0.0953
test,0.68,277326,276586,0.9973,0.2173,0.1988,3960223575.0,349122900.19,0.0882,377801030.0,0.0954
test,0.69,277326,276735,0.9979,0.2175,0.199,3963399975.0,349993134.61,0.0883,378565990.0,0.0955
test,0.7,277326,276857,0.9983,0.2177,0.1992,3965821825.0,350666095.7,0.0884,379214730.0,0.0956
test,0.71,277326,276956,0.9987,0.2179,0.1994,3967808325.0,351226133.66,0.0885,379789940.0,0.0957
test,0.72,277326,277057,0.999,0.218,0.1996,3969990875.0,351850076.0,0.0886,380340200.0,0.0958
test,0.73,277326,277131,0.9993,0.2181,0.1997,3971622700.0,352323355.7,0.0887,380808200.0,0.0959
test,0.74,277326,277179,0.9995,0.2182,0.1998,3972605375.0,352612302.06,0.0888,381131980.0,0.0959
test,0.75,277326,277225,0.9996,0.2183,0.1999,3973651375.0,352924038.97,0.0888,381399290.0,0.096
test,0.76,277326,277254,0.9997,0.2184,0.2,3974204525.0,353090967.38,0.0888,381576080.0,0.096
test,0.77,277326,277277,0.9998,0.2184,0.2,3974755575.0,353259452.89,0.0889,381724900.0,0.096
test,0.78,277326,277290,0.9999,0.2184,0.2001,3975040000.0,353347510.74,0.0889,381771300.0,0.096
test,0.79,277326,277300,0.9999,0.2184,0.2001,3975310900.0,353432671.87,0.0889,381833700.0,0.0961
test,0.8,277326,277309,0.9999,0.2184,0.2001,3975525525.0,353501016.45,0.0889,381897150.0,0.0961
test,0.81,277326,277315,1.0,0.2185,0.2001,3975639425.0,353537665.06,0.0889,381926180.0,0.0961
test,0.82,277326,277319,1.0,0.2185,0.2001,3975731125.0,353567525.14,0.0889,381936060.0,0.0961
test,0.83,277326,277322,1.0,0.2185,0.2001,3975797525.0,353589501.01,0.0889,381962620.0,0.0961
test,0.84,277326,277325,1.0,0.2185,0.2001,3975863475.0,353611601.31,0.0889,381983000.0,0.0961
test,0.85,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
test,0.86,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
test,0.87,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
test,0.88,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
test,0.89,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
test,0.9,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
test,0.91,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
test,0.92,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
test,0.93,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
test,0.94,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
test,0.95,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
test,0.96,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
test,0.97,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
test,0.98,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
test,0.99,277326,277326,1.0,0.2185,0.2001,3975884975.0,353618893.94,0.0889,381991600.0,0.0961
