dataset,rows,threshold,roc_auc,pr_auc,accuracy,f1,log_loss,brier_score
train,1029030,0.5,0.74492,0.4261,0.81194,0.18638,0.432,0.13715
test,277326,0.5,0.71972,0.4089,0.78488,0.23553,0.47259,0.15332
