dataset,rows,threshold,roc_auc,pr_auc,accuracy,f1,log_loss,brier_score
train,825575,0.5,0.74513,0.41004,0.82167,0.15808,0.41808,0.13158
test,277326,0.5,0.71006,0.39358,0.78448,0.16178,0.47796,0.15508
