dataset,rows,threshold,roc_auc,pr_auc,accuracy,f1,log_loss,brier_score
train,1029030,0.5,0.61417,0.27665,0.80377,0.00211,0.49243,0.15487
test,277326,0.5,0.59305,0.28719,0.78111,0.01442,0.55271,0.17168
