feature_name,coefficient,abs_coefficient
cat__grade_A,-1.0781190079363903,1.0781190079363903
cat__sub_grade_A1,-0.5944083696733133,0.5944083696733133
cat__grade_G,0.540106391242214,0.540106391242214
cat__term_ 36 months,-0.536149374639929,0.536149374639929
cat__grade_B,-0.5233262115024441,0.5233262115024441
cat__grade_F,0.4840141411438097,0.4840141411438097
num__funded_amnt_inv,-0.4415890465355601,0.4415890465355601
cat__purpose_small_business,0.3486272223357756,0.3486272223357756
cat__purpose_wedding,-0.32538035237105895,0.32538035237105895
cat__grade_E,0.3236336600251438,0.3236336600251438
cat__sub_grade_A2,-0.32206708912694726,0.32206708912694726
cat__addr_state_OR,-0.3213496978791424,0.3213496978791424
cat__addr_state_NH,-0.317315604370575,0.317315604370575
cat__application_type_Joint App,-0.29760498806864877,0.29760498806864877
cat__sub_grade_B1,-0.2907319654054657,0.2907319654054657
cat__term_ 60 months,0.27307969971910057,0.27307969971910057
cat__addr_state_DC,-0.27020623004942507,0.27020623004942507
cat__addr_state_AR,0.25516902987050016,0.25516902987050016
cat__addr_state_VT,-0.2551564179632481,0.2551564179632481
cat__addr_state_MS,0.24430767254856514,0.24430767254856514
cat__addr_state_CO,-0.23948201595646013,0.23948201595646013
cat__addr_state_OK,0.23855290470765944,0.23855290470765944
num__funded_amnt,0.2361314538445322,0.2361314538445322
cat__addr_state_WA,-0.230966789482484,0.230966789482484
cat__addr_state_LA,0.23038119228252554,0.23038119228252554
cat__sub_grade_B2,-0.22139861521098098,0.22139861521098098
cat__addr_state_ME,-0.2209469004426851,0.2209469004426851
cat__sub_grade_A3,-0.21810266125058533,0.21810266125058533
cat__addr_state_SC,-0.2163087704157948,0.2163087704157948
num__installment,0.21423513360905383,0.21423513360905383
cat__addr_state_AL,0.2126574430475864,0.2126574430475864
cat__home_ownership_MORTGAGE,-0.2065669701417767,0.2065669701417767
cat__addr_state_WV,-0.20291925415410508,0.20291925415410508
cat__addr_state_KS,-0.2003606485154907,0.2003606485154907
num__dti,0.18171026369845877,0.18171026369845877
cat__sub_grade_C1,-0.1794074546751801,0.1794074546751801
cat__purpose_car,-0.17766550933431555,0.17766550933431555
cat__sub_grade_F5,0.1758892780765167,0.1758892780765167
num__total_il_high_credit_limit,-0.17022695257935905,0.17022695257935905
cat__sub_grade_F4,0.16390685275381175,0.16390685275381175
flag__pub_rec_bankruptcies_missing_flag,0.16146084791671061,0.16146084791671061
cat__disbursement_method_DirectPay,-0.160351909220241,0.160351909220241
num__acc_open_past_24mths,0.15818163693840015,0.15818163693840015
cat__addr_state_NE,0.15797807931258606,0.15797807931258606
cat__addr_state_NV,0.1539621426602902,0.1539621426602902
cat__sub_grade_E5,0.14814972228464052,0.14814972228464052
cat__grade_C,-0.1464353325764985,0.1464353325764985
cat__initial_list_status_f,-0.1448853891842849,0.1448853891842849
cat__addr_state_MO,0.1412127329434939,0.1412127329434939
cat__sub_grade_G4,0.13949941507219454,0.13949941507219454
num__total_bal_ex_mort,0.13708967422220408,0.13708967422220408
cat__grade_D,0.13705668468024837,0.13705668468024837
cat__verification_status_Not Verified,-0.13547442107133434,0.13547442107133434
cat__addr_state_NJ,0.13067222445327561,0.13067222445327561
num__int_rate,-0.13020600920079123,0.13020600920079123
flag__num_tl_120dpd_2m_missing_flag,0.12955408405067848,0.12955408405067848
cat__addr_state_NM,0.12930812839937958,0.12930812839937958
flag__bc_util_missing_flag,0.12929307768625115,0.12929307768625115
cat__sub_grade_G5,0.1286574943437128,0.1286574943437128
num__total_bc_limit,-0.12754364888415637,0.12754364888415637
cat__addr_state_MD,0.12681924771837771,0.12681924771837771
cat__sub_grade_G1,0.12358703635441498,0.12358703635441498
num__total_acc,-0.12347844425687324,0.12347844425687324
cat__addr_state_MT,-0.11849087364690641,0.11849087364690641
cat__initial_list_status_w,-0.11818428573439153,0.11818428573439153
cat__sub_grade_B3,-0.11603626860354277,0.11603626860354277
cat__addr_state_NY,0.11489261126823237,0.11489261126823237
cat__addr_state_WY,-0.1134926623239582,0.1134926623239582
cat__sub_grade_G3,0.11202766107441052,0.11202766107441052
num__tot_hi_cred_lim,-0.11133592829139814,0.11133592829139814
cat__purpose_educational,0.11122607105211219,0.11122607105211219
flag__mths_since_recent_inq_missing_flag,-0.11100341234413946,0.11100341234413946
flag__mths_since_recent_bc_missing_flag,-0.1098391263297589,0.1098391263297589
num__num_rev_tl_bal_gt_0,0.10855185026188593,0.10855185026188593
flag__mo_sin_old_il_acct_missing_flag,0.10777961484211629,0.10777961484211629
cat__home_ownership_OWN,-0.10371976526388928,0.10371976526388928
cat__disbursement_method_Cash,-0.1027177657021633,0.1027177657021633
cat__purpose_house,-0.10051354253071075,0.10051354253071075
cat__sub_grade_B5,0.10040641164396674,0.10040641164396674
cat__sub_grade_C5,0.09891322287403369,0.09891322287403369
cat__addr_state_TN,0.09771624398652741,0.09771624398652741
cat__sub_grade_D5,0.09706608218943263,0.09706608218943263
cat__purpose_credit_card,-0.09664914337763755,0.09664914337763755
num__loan_amnt,0.09558113693715335,0.09558113693715335
cat__sub_grade_A5,0.09476596610677933,0.09476596610677933
cat__sub_grade_E4,0.09450921911921024,0.09450921911921024
cat__addr_state_FL,0.09273349559611922,0.09273349559611922
cat__sub_grade_C2,-0.09139247698350625,0.09139247698350625
cat__sub_grade_F3,0.08907026637480833,0.08907026637480833
cat__addr_state_ND,-0.08580265540813144,0.08580265540813144
cat__sub_grade_D1,-0.0855910779189522,0.0855910779189522
num__tot_cur_bal,0.08542484136389297,0.08542484136389297
cat__addr_state_IN,0.08476041025304848,0.08476041025304848
cat__purpose_medical,0.08429774746810231,0.08429774746810231
cat__addr_state_KY,0.08416001250190265,0.08416001250190265
cat__verification_status_Verified,-0.08412794013595042,0.08412794013595042
cat__sub_grade_D4,0.08303216753274646,0.08303216753274646
cat__addr_state_HI,-0.08275551141425835,0.08275551141425835
flag__revol_util_missing_flag,0.08268060139562323,0.08268060139562323
cat__addr_state_CT,-0.08195051169220839,0.08195051169220839
cat__addr_state_ID,-0.08113577050869057,0.08113577050869057
cat__addr_state_OH,0.0804293533379143,0.0804293533379143
cat__addr_state_SD,0.07843299041965165,0.07843299041965165
cat__addr_state_WI,-0.07747617642100159,0.07747617642100159
cat__addr_state_RI,-0.07725178254786179,0.07725178254786179
num__percent_bc_gt_75,0.07706999972336565,0.07706999972336565
cat__addr_state_GA,-0.0743936095310292,0.0743936095310292
cat__addr_state_VA,0.0740069057025899,0.0740069057025899
cat__addr_state_UT,-0.07385997139514516,0.07385997139514516
cat__addr_state_PA,0.07383748939604379,0.07383748939604379
flag__mths_since_last_record_missing_flag,-0.07279257596006082,0.07279257596006082
flag__il_util_missing_flag,0.07245515283821638,0.07245515283821638
cat__addr_state_NC,0.07123362348062008,0.07123362348062008
cat__sub_grade_F2,0.07043793491763735,0.07043793491763735
cat__purpose_debt_consolidation,-0.07007348578487262,0.07007348578487262
flag__mths_since_last_major_derog_missing_flag,-0.06918177423145172,0.06918177423145172
num__avg_cur_bal,-0.06668462611629324,0.06668462611629324
num__delinq_2yrs,0.06601306569501093,0.06601306569501093
cat__addr_state_MN,0.06271475266618393,0.06271475266618393
flag__acc_open_past_24mths_missing_flag,-0.060632343047453435,0.060632343047453435
flag__mort_acc_missing_flag,-0.060632343047453435,0.060632343047453435
flag__total_bal_ex_mort_missing_flag,-0.060632343047453435,0.060632343047453435
flag__total_bc_limit_missing_flag,-0.060632343047453435,0.060632343047453435
num__annual_inc,-0.06048196634536857,0.06048196634536857
flag__mths_since_recent_bc_dlq_missing_flag,-0.0590085929654345,0.0590085929654345
cat__addr_state_AZ,0.0586274835001281,0.0586274835001281
num__mths_since_recent_bc,-0.05639962780781388,0.05639962780781388
flag__mths_since_last_delinq_missing_flag,-0.05600567668792388,0.05600567668792388
cat__sub_grade_E3,0.05552649776525213,0.05552649776525213
num__mort_acc,-0.05509988981380199,0.05509988981380199
cat__emp_length_2 years,-0.05465628944315792,0.05465628944315792
num__total_rev_hi_lim,-0.05444217885964514,0.05444217885964514
cat__purpose_moving,0.053754579526463765,0.053754579526463765
flag__mths_since_rcnt_il_missing_flag,0.05280714088258665,0.05280714088258665
cat__sub_grade_C4,0.0506659249111038,0.0506659249111038
cat__emp_length_4 years,-0.050541763702874255,0.050541763702874255
cat__emp_length_5 years,-0.04973768266016828,0.04973768266016828
cat__purpose_renewable_energy,0.04937527969773301,0.04937527969773301
flag__all_util_missing_flag,-0.04757944563784139,0.04757944563784139
cat__purpose_vacation,-0.04520290979906738,0.04520290979906738
num__bc_open_to_buy,0.044608505487118665,0.044608505487118665
flag__open_acc_6m_missing_flag,-0.0435793598040534,0.0435793598040534
flag__total_cu_tl_missing_flag,-0.0435793598040534,0.0435793598040534
flag__inq_last_12m_missing_flag,-0.0435793598040534,0.0435793598040534
cat__verification_status_Source Verified,-0.04346731371383142,0.04346731371383142
flag__open_il_24m_missing_flag,-0.04294279634776212,0.04294279634776212
flag__open_rv_24m_missing_flag,-0.04294279634776212,0.04294279634776212
flag__open_rv_12m_missing_flag,-0.04294279634776212,0.04294279634776212
flag__open_act_il_missing_flag,-0.04294279634776212,0.04294279634776212
flag__open_il_12m_missing_flag,-0.04294279634776212,0.04294279634776212
flag__max_bal_bc_missing_flag,-0.04294279634776212,0.04294279634776212
flag__total_bal_il_missing_flag,-0.04294279634776212,0.04294279634776212
flag__inq_fi_missing_flag,-0.04294279634776212,0.04294279634776212
num__num_il_tl,0.041544559225998375,0.041544559225998375
cat__purpose_other,-0.04052704983327624,0.04052704983327624
num__pct_tl_nvr_dlq,0.03988466449016693,0.03988466449016693
flag__mths_since_recent_revol_delinq_missing_flag,0.039850579960594816,0.039850579960594816
num__num_bc_tl,0.039632143066499696,0.039632143066499696
cat__purpose_major_purchase,-0.039584890305992396,0.039584890305992396
cat__addr_state_MA,0.03926987540545651,0.03926987540545651
cat__addr_state_IL,-0.03921112355158681,0.03921112355158681
cat__sub_grade_A4,-0.03830685399101846,0.03830685399101846
num__bc_util,-0.03819663674253433,0.03819663674253433
cat__emp_length_6 years,-0.038066218991273985,0.038066218991273985
cat__emp_length_3 years,-0.03779558578539266,0.03779558578539266
cat__emp_length_7 years,-0.03776303148426023,0.03776303148426023
cat__addr_state_MI,0.0374225908300476,0.0374225908300476
cat__sub_grade_G2,0.03633478439770239,0.03633478439770239
flag__bc_open_to_buy_missing_flag,0.03633042256444533,0.03633042256444533
num__inq_last_6mths,0.03588358811494239,0.03588358811494239
cat__application_type_Individual,0.03453531314567207,0.03453531314567207
num__num_rev_accts,-0.0341712690822482,0.0341712690822482
num__num_actv_rev_tl,-0.0332227306078881,0.0332227306078881
cat__sub_grade_E2,0.03274696294684914,0.03274696294684914
