dataset,rows,threshold,roc_auc,pr_auc,accuracy,f1,log_loss,brier_score
train,1029030,0.5,0.72613,0.3953,0.80856,0.1575,0.44201,0.14047
test,277326,0.5,0.70556,0.38416,0.7825,0.1814,0.48282,0.15591
